sample_id	treatment	timepoint	replicate	raw_fastq
C_T1_R1	control	T1	R1	data/raw_fastq/C_T1_R1.fastq.gz
C_T1_R2	control	T1	R2	data/raw_fastq/C_T1_R2.fastq.gz
C_T1_R3	control	T1	R3	data/raw_fastq/C_T1_R3.fastq.gz
C_T2_R1	control	T2	R1	data/raw_fastq/C_T2_R1.fastq.gz
C_T2_R2	control	T2	R2	data/raw_fastq/C_T2_R2.fastq.gz
C_T2_R3	control	T2	R3	data/raw_fastq/C_T2_R3.fastq.gz
C_T3_R1	control	T3	R1	data/raw_fastq/C_T3_R1.fastq.gz
C_T3_R2	control	T3	R2	data/raw_fastq/C_T3_R2.fastq.gz
C_T3_R3	control	T3	R3	data/raw_fastq/C_T3_R3.fastq.gz
C_T4_R1	control	T4	R1	data/raw_fastq/C_T4_R1.fastq.gz
C_T4_R2	control	T4	R2	data/raw_fastq/C_T4_R2.fastq.gz
C_T4_R3	control	T4	R3	data/raw_fastq/C_T4_R3.fastq.gz
C_T5_R1	control	T5	R1	data/raw_fastq/C_T5_R1.fastq.gz
C_T5_R2	control	T5	R2	data/raw_fastq/C_T5_R2.fastq.gz
C_T5_R3	control	T5	R3	data/raw_fastq/C_T5_R3.fastq.gz
P_T1_R1	placebo	T1	R1	data/raw_fastq/P_T1_R1.fastq.gz
P_T1_R2	placebo	T1	R2	data/raw_fastq/P_T1_R2.fastq.gz
P_T1_R3	placebo	T1	R3	data/raw_fastq/P_T1_R3.fastq.gz
P_T2_R1	placebo	T2	R1	data/raw_fastq/P_T2_R1.fastq.gz
P_T2_R2	placebo	T2	R2	data/raw_fastq/P_T2_R2.fastq.gz
P_T2_R3	placebo	T2	R3	data/raw_fastq/P_T2_R3.fastq.gz
P_T3_R1	placebo	T3	R1	data/raw_fastq/P_T3_R1.fastq.gz
P_T3_R2	placebo	T3	R2	data/raw_fastq/P_T3_R2.fastq.gz
P_T3_R3	placebo	T3	R3	data/raw_fastq/P_T3_R3.fastq.gz
P_T4_R1	placebo	T4	R1	data/raw_fastq/P_T4_R1.fastq.gz
P_T4_R2	placebo	T4	R2	data/raw_fastq/P_T4_R2.fastq.gz
P_T4_R3	placebo	T4	R3	data/raw_fastq/P_T4_R3.fastq.gz
P_T5_R1	placebo	T5	R1	data/raw_fastq/P_T5_R1.fastq.gz
P_T5_R2	placebo	T5	R2	data/raw_fastq/P_T5_R2.fastq.gz
P_T5_R3	placebo	T5	R3	data/raw_fastq/P_T5_R3.fastq.gz
TR1_T1_R1	treatment1	T1	R1	data/raw_fastq/TR1_T1_R1.fastq.gz
TR1_T1_R2	treatment1	T1	R2	data/raw_fastq/TR1_T1_R2.fastq.gz
TR1_T1_R3	treatment1	T1	R3	data/raw_fastq/TR1_T1_R3.fastq.gz
TR1_T2_R1	treatment1	T2	R1	data/raw_fastq/TR1_T2_R1.fastq.gz
TR1_T2_R2	treatment1	T2	R2	data/raw_fastq/TR1_T2_R2.fastq.gz
TR1_T2_R3	treatment1	T2	R3	data/raw_fastq/TR1_T2_R3.fastq.gz
TR1_T3_R1	treatment1	T3	R1	data/raw_fastq/TR1_T3_R1.fastq.gz
TR1_T3_R2	treatment1	T3	R2	data/raw_fastq/TR1_T3_R2.fastq.gz
TR1_T3_R3	treatment1	T3	R3	data/raw_fastq/TR1_T3_R3.fastq.gz
TR1_T4_R1	treatment1	T4	R1	data/raw_fastq/TR1_T4_R1.fastq.gz
TR1_T4_R2	treatment1	T4	R2	data/raw_fastq/TR1_T4_R2.fastq.gz
TR1_T4_R3	treatment1	T4	R3	data/raw_fastq/TR1_T4_R3.fastq.gz
TR1_T5_R1	treatment1	T5	R1	data/raw_fastq/TR1_T5_R1.fastq.gz
TR1_T5_R2	treatment1	T5	R2	data/raw_fastq/TR1_T5_R2.fastq.gz
TR1_T5_R3	treatment1	T5	R3	data/raw_fastq/TR1_T5_R3.fastq.gz
TR2_T1_R1	treatment2	T1	R1	data/raw_fastq/TR2_T1_R1.fastq.gz
TR2_T1_R2	treatment2	T1	R2	data/raw_fastq/TR2_T1_R2.fastq.gz
TR2_T1_R3	treatment2	T1	R3	data/raw_fastq/TR2_T1_R3.fastq.gz
TR2_T2_R1	treatment2	T2	R1	data/raw_fastq/TR2_T2_R1.fastq.gz
TR2_T2_R2	treatment2	T2	R2	data/raw_fastq/TR2_T2_R2.fastq.gz
TR2_T2_R3	treatment2	T2	R3	data/raw_fastq/TR2_T2_R3.fastq.gz
TR2_T3_R1	treatment2	T3	R1	data/raw_fastq/TR2_T3_R1.fastq.gz
TR2_T3_R2	treatment2	T3	R2	data/raw_fastq/TR2_T3_R2.fastq.gz
TR2_T3_R3	treatment2	T3	R3	data/raw_fastq/TR2_T3_R3.fastq.gz
TR2_T4_R1	treatment2	T4	R1	data/raw_fastq/TR2_T4_R1.fastq.gz
TR2_T4_R2	treatment2	T4	R2	data/raw_fastq/TR2_T4_R2.fastq.gz
TR2_T4_R3	treatment2	T4	R3	data/raw_fastq/TR2_T4_R3.fastq.gz
TR2_T5_R1	treatment2	T5	R1	data/raw_fastq/TR2_T5_R1.fastq.gz
TR2_T5_R2	treatment2	T5	R2	data/raw_fastq/TR2_T5_R2.fastq.gz
TR2_T5_R3	treatment2	T5	R3	data/raw_fastq/TR2_T5_R3.fastq.gz
TR3_T1_R1	treatment3	T1	R1	data/raw_fastq/TR3_T1_R1.fastq.gz
TR3_T1_R2	treatment3	T1	R2	data/raw_fastq/TR3_T1_R2.fastq.gz
TR3_T1_R3	treatment3	T1	R3	data/raw_fastq/TR3_T1_R3.fastq.gz
TR3_T2_R1	treatment3	T2	R1	data/raw_fastq/TR3_T2_R1.fastq.gz
TR3_T2_R2	treatment3	T2	R2	data/raw_fastq/TR3_T2_R2.fastq.gz
TR3_T2_R3	treatment3	T2	R3	data/raw_fastq/TR3_T2_R3.fastq.gz
TR3_T3_R1	treatment3	T3	R1	data/raw_fastq/TR3_T3_R1.fastq.gz
TR3_T3_R2	treatment3	T3	R2	data/raw_fastq/TR3_T3_R2.fastq.gz
TR3_T3_R3	treatment3	T3	R3	data/raw_fastq/TR3_T3_R3.fastq.gz
TR3_T4_R1	treatment3	T4	R1	data/raw_fastq/TR3_T4_R1.fastq.gz
TR3_T4_R2	treatment3	T4	R2	data/raw_fastq/TR3_T4_R2.fastq.gz
TR3_T4_R3	treatment3	T4	R3	data/raw_fastq/TR3_T4_R3.fastq.gz
TR3_T5_R1	treatment3	T5	R1	data/raw_fastq/TR3_T5_R1.fastq.gz
TR3_T5_R2	treatment3	T5	R2	data/raw_fastq/TR3_T5_R2.fastq.gz
TR3_T5_R3	treatment3	T5	R3	data/raw_fastq/TR3_T5_R3.fastq.gz
